Code,Descr,Fruit,Class,Mass (kg),Supervisor,Rand.Value
105/1,CITRUS,105,1,15,,1.97
105/2,CITRUS,105,2,15,,1.97
105/3,CITRUS,105,3,15,,1.97
125/1,CITRUS,125,1,15,,2.34
125/2,CITRUS,125,2,15,,2.34
125/3,CITRUS,125,3,15,,2.34
32/2,CITRUS,32,2,15,,0.6
36/1,CITRUS,36,1,15,,0.65
36/2,CITRUS,36,2,15,,0.65
40/1,CITRUS,40,1,15,,0.75
40/2,CITRUS,40,2,15,,0.75
40/3,CITRUS,40,3,15,,0.75
45/1,CITRUS,45,1,17,,0.84
45/2,CITRUS,45,2,17,,0.84
48/1,CITRUS,48,1,15,,0.89
48/2,CITRUS,48,2,15,,0.89
48/3,CITRUS,48,3,15,,0.89
50/1,CITRUS,50,1,17,,0.93
50/2,CITRUS,50,2,17,,0.93
55/1,CITRUS,55,1,17,,1.03
55/2,CITRUS,55,2,17,,1.03
56/1,CITRUS,56,1,15,,1.05
56/2,CITRUS,56,2,15,,1.05
56/3,CITRUS,56,3,15,,1.05
60/1,CITRUS,60,1,17,,1.12
60/2,CITRUS,60,2,17,,1.12
64/1,CITRUS,64,1,15,,1.19
64/2,CITRUS,64,2,15,,1.19
64/3,CITRUS,64,3,15,,1.19
65/1,CITRUS,65,1,17,,1.22
65/2,CITRUS,65,2,17,,1.22
72/1,CITRUS,72,1,15,,1.35
72/2,CITRUS,72,2,15,,1.35
72/3,CITRUS,72,3,15,,1.35
88/1,CITRUS,88,1,15,,1.65
88/2,CITRUS,88,2,15,,1.65
88/3,CITRUS,88,3,15,,1.65
90/1,CITRUS,90,1,16,,1.68
CLOSER,GRAPES,0,0,0,,0.1
KNIP MIX,GRAPES,0,0,0,,0.15
KNIPPER,GRAPES,0,0,0,,0.4
LARGE,CITRUS,0,0,0,,0.0
MEDIUM,CITRUS,0,0,0,,0.0
PACKER,GRAPES,0,0,5,,0.2
SMALL,CITRUS,0,0,0,,0.0
XL,CITRUS,0,0,0,,0.0
