Code,Descr,Fruit,Class,Mass (kg),Supervisor,Rand.Value
105/1,Citrus Class 1,105,1,15,,1.97
105/2,Citrus Class 2,105,2,15,,1.97
105/3,PROCESSING,105,3,15,,1.97
125/1,Citrus Class 1,125,1,15,,2.34
125/2,Citrus Class 2,125,2,15,,2.34
125/3,PROCESSING,125,3,15,,2.34
32/2,Citrus Class 2,32,2,15,,0.6
36/1,Citrus Class 1,36,1,15,,0.65
36/2,Citrus Class 2,36,1,15,,0.65
40/1,Citrus Class 1,40,1,15,,0.75
40/2,Citrus Class 2,40,2,15,,0.75
40/3,PROCESSING,40,3,15,,0.75
45/1,Citrus Class 1,45,1,17,,0.84
45/2,Citrus Class 2,45,1,17,,0.84
48/1,Citrus Class 1,48,1,15,,0.89
48/2,Citrus Class 2,48,2,15,,0.89
48/3,PROCESSING,48,3,15,,0.89
50/1,Citrus Class 1,50,1,17,,0.93
50/2,Citrus Class 2,50,2,17,,0.93
55/1,Citrus Class 1,55,1,17,,1.03
55/2,Citrus Class 2,55,2,17,,1.03
56/1,Citrus Class 1,56,1,15,,1.05
56/2,Citrus Class 2,56,2,15,,1.05
56/3,PROCESSING,56,3,15,,1.05
60/1,Citrus Class 1,60,1,17,,1.12
60/2,Citrus Class  2,60,2,17,,1.12
64/1,Citrus Class 1,64,1,15,,1.19
64/2,Citrus Class 2,64,2,15,,1.19
64/3,PROCESSING,64,3,15,,1.19
65/1,Citrus Class 1,65,1,17,,1.22
65/2,Citrus Class 2,65,2,17,,1.22
72/1,Citrus Class 1,72,1,15,,1.35
72/2,Citrus Class 2,72,2,15,,1.35
72/3,PROCESSING,72,3,15,,1.35
88/1,Citrus Class 1,88,1,15,,1.65
88/2,Citrus Class 2,88,2,15,,1.65
88/3,PROCESSING,88,3,15,,1.65
90/1,Citrus Class 1,90,1,16,,1.68
